Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Terrorism offence 298,99,Terrorism Act 2000,Engages in terrorist-related activity 298,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example298 [2007] EWCA Crim 298,National security threat 298,Terrorism
Environmental crime 299,100,Environmental Protection Act 1990,Causes environmental damage 299,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example299 [1996] Env LR 299,Environmental damage 299,Environmental
Corporate offence 300,1,Companies Act 2006,Fails to comply with corporate duties 300,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example300 [1989] 1 WLR 300,Corporate compliance 300,Corporate Crime
Theft variation 301,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 301,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example301 [1982] QB 301,Specific theft circumstances 301,Theft
Assault variation 302,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 302,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example302 [1976] 1 WLR 302,Specific assault type 302,Assault
Drug offence variation 303,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 303,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example303 [1986] 82 Cr App R 303,Drug-related conduct 303,Drugs
Traffic offence variation 304,5,Road Traffic Act 1988,Contravenes road traffic regulations 304,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example304 [1987] RTR 304,Road traffic violation 304,Traffic
Public order offence 305,6,Public Order Act 1986,Disrupts public order in specific manner 305,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example305 [1987] QB 305,Public disorder 305,Public Order
Cybercrime offence 306,7,Computer Misuse Act 1990,Unlawfully uses computer systems 306,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example306 [2000] 2 AC 306,Digital crime 306,Cybercrime
Financial crime 307,8,Fraud Act 2006,Dishonestly obtains financial advantage 307,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example307 [2012] EWCA Crim 307,Economic offence 307,Financial Crime
Terrorism offence 308,9,Terrorism Act 2000,Engages in terrorist-related activity 308,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example308 [2007] EWCA Crim 308,National security threat 308,Terrorism
Environmental crime 309,10,Environmental Protection Act 1990,Causes environmental damage 309,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example309 [1996] Env LR 309,Environmental damage 309,Environmental
Corporate offence 310,11,Companies Act 2006,Fails to comply with corporate duties 310,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example310 [1989] 1 WLR 310,Corporate compliance 310,Corporate Crime
Theft variation 311,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 311,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example311 [1982] QB 311,Specific theft circumstances 311,Theft
Assault variation 312,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 312,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example312 [1976] 1 WLR 312,Specific assault type 312,Assault
Drug offence variation 313,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 313,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example313 [1986] 82 Cr App R 313,Drug-related conduct 313,Drugs
Traffic offence variation 314,15,Road Traffic Act 1988,Contravenes road traffic regulations 314,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example314 [1987] RTR 314,Road traffic violation 314,Traffic
Public order offence 315,16,Public Order Act 1986,Disrupts public order in specific manner 315,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example315 [1987] QB 315,Public disorder 315,Public Order
Cybercrime offence 316,17,Computer Misuse Act 1990,Unlawfully uses computer systems 316,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example316 [2000] 2 AC 316,Digital crime 316,Cybercrime
Financial crime 317,18,Fraud Act 2006,Dishonestly obtains financial advantage 317,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example317 [2012] EWCA Crim 317,Economic offence 317,Financial Crime
Terrorism offence 318,19,Terrorism Act 2000,Engages in terrorist-related activity 318,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example318 [2007] EWCA Crim 318,National security threat 318,Terrorism
Environmental crime 319,20,Environmental Protection Act 1990,Causes environmental damage 319,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example319 [1996] Env LR 319,Environmental damage 319,Environmental
Corporate offence 320,21,Companies Act 2006,Fails to comply with corporate duties 320,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example320 [1989] 1 WLR 320,Corporate compliance 320,Corporate Crime
Theft variation 321,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 321,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example321 [1982] QB 321,Specific theft circumstances 321,Theft
Assault variation 322,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 322,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example322 [1976] 1 WLR 322,Specific assault type 322,Assault
Drug offence variation 323,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 323,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example323 [1986] 82 Cr App R 323,Drug-related conduct 323,Drugs
Traffic offence variation 324,25,Road Traffic Act 1988,Contravenes road traffic regulations 324,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example324 [1987] RTR 324,Road traffic violation 324,Traffic
Public order offence 325,26,Public Order Act 1986,Disrupts public order in specific manner 325,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example325 [1987] QB 325,Public disorder 325,Public Order
Cybercrime offence 326,27,Computer Misuse Act 1990,Unlawfully uses computer systems 326,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example326 [2000] 2 AC 326,Digital crime 326,Cybercrime
Financial crime 327,28,Fraud Act 2006,Dishonestly obtains financial advantage 327,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example327 [2012] EWCA Crim 327,Economic offence 327,Financial Crime
Terrorism offence 328,29,Terrorism Act 2000,Engages in terrorist-related activity 328,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example328 [2007] EWCA Crim 328,National security threat 328,Terrorism
Environmental crime 329,30,Environmental Protection Act 1990,Causes environmental damage 329,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example329 [1996] Env LR 329,Environmental damage 329,Environmental
Corporate offence 330,31,Companies Act 2006,Fails to comply with corporate duties 330,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example330 [1989] 1 WLR 330,Corporate compliance 330,Corporate Crime
Theft variation 331,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 331,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example331 [1982] QB 331,Specific theft circumstances 331,Theft
Assault variation 332,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 332,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example332 [1976] 1 WLR 332,Specific assault type 332,Assault
Drug offence variation 333,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 333,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example333 [1986] 82 Cr App R 333,Drug-related conduct 333,Drugs
Traffic offence variation 334,35,Road Traffic Act 1988,Contravenes road traffic regulations 334,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example334 [1987] RTR 334,Road traffic violation 334,Traffic
Public order offence 335,36,Public Order Act 1986,Disrupts public order in specific manner 335,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example335 [1987] QB 335,Public disorder 335,Public Order
Cybercrime offence 336,37,Computer Misuse Act 1990,Unlawfully uses computer systems 336,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example336 [2000] 2 AC 336,Digital crime 336,Cybercrime
Financial crime 337,38,Fraud Act 2006,Dishonestly obtains financial advantage 337,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example337 [2012] EWCA Crim 337,Economic offence 337,Financial Crime
Terrorism offence 338,39,Terrorism Act 2000,Engages in terrorist-related activity 338,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example338 [2007] EWCA Crim 338,National security threat 338,Terrorism
Environmental crime 339,40,Environmental Protection Act 1990,Causes environmental damage 339,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example339 [1996] Env LR 339,Environmental damage 339,Environmental
Corporate offence 340,41,Companies Act 2006,Fails to comply with corporate duties 340,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example340 [1989] 1 WLR 340,Corporate compliance 340,Corporate Crime
Theft variation 341,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 341,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example341 [1982] QB 341,Specific theft circumstances 341,Theft
Assault variation 342,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 342,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example342 [1976] 1 WLR 342,Specific assault type 342,Assault
Drug offence variation 343,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 343,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example343 [1986] 82 Cr App R 343,Drug-related conduct 343,Drugs
Traffic offence variation 344,45,Road Traffic Act 1988,Contravenes road traffic regulations 344,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example344 [1987] RTR 344,Road traffic violation 344,Traffic
Public order offence 345,46,Public Order Act 1986,Disrupts public order in specific manner 345,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example345 [1987] QB 345,Public disorder 345,Public Order
Cybercrime offence 346,47,Computer Misuse Act 1990,Unlawfully uses computer systems 346,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example346 [2000] 2 AC 346,Digital crime 346,Cybercrime
Financial crime 347,48,Fraud Act 2006,Dishonestly obtains financial advantage 347,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example347 [2012] EWCA Crim 347,Economic offence 347,Financial Crime
Terrorism offence 348,49,Terrorism Act 2000,Engages in terrorist-related activity 348,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example348 [2007] EWCA Crim 348,National security threat 348,Terrorism
Environmental crime 349,50,Environmental Protection Act 1990,Causes environmental damage 349,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example349 [1996] Env LR 349,Environmental damage 349,Environmental
Corporate offence 350,51,Companies Act 2006,Fails to comply with corporate duties 350,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example350 [1989] 1 WLR 350,Corporate compliance 350,Corporate Crime
Theft variation 351,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 351,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example351 [1982] QB 351,Specific theft circumstances 351,Theft
Assault variation 352,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 352,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example352 [1976] 1 WLR 352,Specific assault type 352,Assault
Drug offence variation 353,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 353,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example353 [1986] 82 Cr App R 353,Drug-related conduct 353,Drugs
Traffic offence variation 354,55,Road Traffic Act 1988,Contravenes road traffic regulations 354,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example354 [1987] RTR 354,Road traffic violation 354,Traffic
Public order offence 355,56,Public Order Act 1986,Disrupts public order in specific manner 355,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example355 [1987] QB 355,Public disorder 355,Public Order
Cybercrime offence 356,57,Computer Misuse Act 1990,Unlawfully uses computer systems 356,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example356 [2000] 2 AC 356,Digital crime 356,Cybercrime
Financial crime 357,58,Fraud Act 2006,Dishonestly obtains financial advantage 357,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example357 [2012] EWCA Crim 357,Economic offence 357,Financial Crime
Terrorism offence 358,59,Terrorism Act 2000,Engages in terrorist-related activity 358,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example358 [2007] EWCA Crim 358,National security threat 358,Terrorism
Environmental crime 359,60,Environmental Protection Act 1990,Causes environmental damage 359,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example359 [1996] Env LR 359,Environmental damage 359,Environmental
Corporate offence 360,61,Companies Act 2006,Fails to comply with corporate duties 360,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example360 [1989] 1 WLR 360,Corporate compliance 360,Corporate Crime
Theft variation 361,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 361,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example361 [1982] QB 361,Specific theft circumstances 361,Theft
Assault variation 362,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 362,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example362 [1976] 1 WLR 362,Specific assault type 362,Assault
Drug offence variation 363,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 363,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example363 [1986] 82 Cr App R 363,Drug-related conduct 363,Drugs
Traffic offence variation 364,65,Road Traffic Act 1988,Contravenes road traffic regulations 364,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example364 [1987] RTR 364,Road traffic violation 364,Traffic
Public order offence 365,66,Public Order Act 1986,Disrupts public order in specific manner 365,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example365 [1987] QB 365,Public disorder 365,Public Order
Cybercrime offence 366,67,Computer Misuse Act 1990,Unlawfully uses computer systems 366,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example366 [2000] 2 AC 366,Digital crime 366,Cybercrime
Financial crime 367,68,Fraud Act 2006,Dishonestly obtains financial advantage 367,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example367 [2012] EWCA Crim 367,Economic offence 367,Financial Crime
Terrorism offence 368,69,Terrorism Act 2000,Engages in terrorist-related activity 368,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986069,14 years imprisonment,CPS,R v Example368 [2007] EWCA Crim 368,National security threat 368,Terrorism
Environmental crime 369,70,Environmental Protection Act 1990,Causes environmental damage 369,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987070,5 years imprisonment,Environment Agency,R v Example369 [1996] Env LR 369,Environmental damage 369,Environmental
Corporate offence 370,71,Companies Act 2006,Fails to comply with corporate duties 370,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988071,2 years imprisonment,CPS,R v Example370 [1989] 1 WLR 370,Corporate compliance 370,Corporate Crime
Theft variation 371,72,Theft Act 1968,Dishonestly appropriates property in specific circumstances 371,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989072,7 years imprisonment,CPS,R v Example371 [1982] QB 371,Specific theft circumstances 371,Theft
Assault variation 372,73,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 372,"1. Assault, 2. Unlawfully, 3. Another person",AS1990073,5 years imprisonment,CPS,R v Example372 [1976] 1 WLR 372,Specific assault type 372,Assault
Drug offence variation 373,74,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 373,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991074,14 years imprisonment,CPS,R v Example373 [1986] 82 Cr App R 373,Drug-related conduct 373,Drugs
Traffic offence variation 374,75,Road Traffic Act 1988,Contravenes road traffic regulations 374,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992075,6 months imprisonment,Police,R v Example374 [1987] RTR 374,Road traffic violation 374,Traffic
Public order offence 375,76,Public Order Act 1986,Disrupts public order in specific manner 375,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993076,6 months imprisonment,Police,R v Example375 [1987] QB 375,Public disorder 375,Public Order
Cybercrime offence 376,77,Computer Misuse Act 1990,Unlawfully uses computer systems 376,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994077,10 years imprisonment,CPS,R v Example376 [2000] 2 AC 376,Digital crime 376,Cybercrime
Financial crime 377,78,Fraud Act 2006,Dishonestly obtains financial advantage 377,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995078,10 years imprisonment,CPS,R v Example377 [2012] EWCA Crim 377,Economic offence 377,Financial Crime
Terrorism offence 378,79,Terrorism Act 2000,Engages in terrorist-related activity 378,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996079,14 years imprisonment,CPS,R v Example378 [2007] EWCA Crim 378,National security threat 378,Terrorism
Environmental crime 379,80,Environmental Protection Act 1990,Causes environmental damage 379,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997080,5 years imprisonment,Environment Agency,R v Example379 [1996] Env LR 379,Environmental damage 379,Environmental
Corporate offence 380,81,Companies Act 2006,Fails to comply with corporate duties 380,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998081,2 years imprisonment,CPS,R v Example380 [1989] 1 WLR 380,Corporate compliance 380,Corporate Crime
Theft variation 381,82,Theft Act 1968,Dishonestly appropriates property in specific circumstances 381,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999082,7 years imprisonment,CPS,R v Example381 [1982] QB 381,Specific theft circumstances 381,Theft
Assault variation 382,83,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 382,"1. Assault, 2. Unlawfully, 3. Another person",AS2000083,5 years imprisonment,CPS,R v Example382 [1976] 1 WLR 382,Specific assault type 382,Assault
Drug offence variation 383,84,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 383,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001084,14 years imprisonment,CPS,R v Example383 [1986] 82 Cr App R 383,Drug-related conduct 383,Drugs
Traffic offence variation 384,85,Road Traffic Act 1988,Contravenes road traffic regulations 384,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002085,6 months imprisonment,Police,R v Example384 [1987] RTR 384,Road traffic violation 384,Traffic
Public order offence 385,86,Public Order Act 1986,Disrupts public order in specific manner 385,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003086,6 months imprisonment,Police,R v Example385 [1987] QB 385,Public disorder 385,Public Order
Cybercrime offence 386,87,Computer Misuse Act 1990,Unlawfully uses computer systems 386,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004087,10 years imprisonment,CPS,R v Example386 [2000] 2 AC 386,Digital crime 386,Cybercrime
Financial crime 387,88,Fraud Act 2006,Dishonestly obtains financial advantage 387,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005088,10 years imprisonment,CPS,R v Example387 [2012] EWCA Crim 387,Economic offence 387,Financial Crime
Terrorism offence 388,89,Terrorism Act 2000,Engages in terrorist-related activity 388,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006089,14 years imprisonment,CPS,R v Example388 [2007] EWCA Crim 388,National security threat 388,Terrorism
Environmental crime 389,90,Environmental Protection Act 1990,Causes environmental damage 389,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007090,5 years imprisonment,Environment Agency,R v Example389 [1996] Env LR 389,Environmental damage 389,Environmental
Corporate offence 390,91,Companies Act 2006,Fails to comply with corporate duties 390,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008091,2 years imprisonment,CPS,R v Example390 [1989] 1 WLR 390,Corporate compliance 390,Corporate Crime
Theft variation 391,92,Theft Act 1968,Dishonestly appropriates property in specific circumstances 391,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009092,7 years imprisonment,CPS,R v Example391 [1982] QB 391,Specific theft circumstances 391,Theft
Assault variation 392,93,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 392,"1. Assault, 2. Unlawfully, 3. Another person",AS2010093,5 years imprisonment,CPS,R v Example392 [1976] 1 WLR 392,Specific assault type 392,Assault
Drug offence variation 393,94,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 393,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011094,14 years imprisonment,CPS,R v Example393 [1986] 82 Cr App R 393,Drug-related conduct 393,Drugs
Traffic offence variation 394,95,Road Traffic Act 1988,Contravenes road traffic regulations 394,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012095,6 months imprisonment,Police,R v Example394 [1987] RTR 394,Road traffic violation 394,Traffic
Public order offence 395,96,Public Order Act 1986,Disrupts public order in specific manner 395,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013096,6 months imprisonment,Police,R v Example395 [1987] QB 395,Public disorder 395,Public Order
Cybercrime offence 396,97,Computer Misuse Act 1990,Unlawfully uses computer systems 396,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014097,10 years imprisonment,CPS,R v Example396 [2000] 2 AC 396,Digital crime 396,Cybercrime
Financial crime 397,98,Fraud Act 2006,Dishonestly obtains financial advantage 397,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015098,10 years imprisonment,CPS,R v Example397 [2012] EWCA Crim 397,Economic offence 397,Financial Crime
Terrorism offence 398,99,Terrorism Act 2000,Engages in terrorist-related activity 398,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example398 [2007] EWCA Crim 398,National security threat 398,Terrorism
Environmental crime 399,100,Environmental Protection Act 1990,Causes environmental damage 399,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example399 [1996] Env LR 399,Environmental damage 399,Environmental
Corporate offence 400,1,Companies Act 2006,Fails to comply with corporate duties 400,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example400 [1989] 1 WLR 400,Corporate compliance 400,Corporate Crime
Theft variation 401,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 401,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example401 [1982] QB 401,Specific theft circumstances 401,Theft
Assault variation 402,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 402,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example402 [1976] 1 WLR 402,Specific assault type 402,Assault
Drug offence variation 403,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 403,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example403 [1986] 82 Cr App R 403,Drug-related conduct 403,Drugs
Traffic offence variation 404,5,Road Traffic Act 1988,Contravenes road traffic regulations 404,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example404 [1987] RTR 404,Road traffic violation 404,Traffic
Public order offence 405,6,Public Order Act 1986,Disrupts public order in specific manner 405,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example405 [1987] QB 405,Public disorder 405,Public Order
Cybercrime offence 406,7,Computer Misuse Act 1990,Unlawfully uses computer systems 406,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example406 [2000] 2 AC 406,Digital crime 406,Cybercrime
Financial crime 407,8,Fraud Act 2006,Dishonestly obtains financial advantage 407,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example407 [2012] EWCA Crim 407,Economic offence 407,Financial Crime
Terrorism offence 408,9,Terrorism Act 2000,Engages in terrorist-related activity 408,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example408 [2007] EWCA Crim 408,National security threat 408,Terrorism
Environmental crime 409,10,Environmental Protection Act 1990,Causes environmental damage 409,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example409 [1996] Env LR 409,Environmental damage 409,Environmental
Corporate offence 410,11,Companies Act 2006,Fails to comply with corporate duties 410,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example410 [1989] 1 WLR 410,Corporate compliance 410,Corporate Crime
Theft variation 411,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 411,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example411 [1982] QB 411,Specific theft circumstances 411,Theft
Assault variation 412,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 412,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example412 [1976] 1 WLR 412,Specific assault type 412,Assault
Drug offence variation 413,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 413,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example413 [1986] 82 Cr App R 413,Drug-related conduct 413,Drugs
